사용월,04시.05시.승차,04시.05시.하차,05시.06시.승차,05시.06시.하차,06시.07시.승차,06시.07시.하차,07시.08시.승차,07시.08시.하차,08시.09시.승차,08시.09시.하차,09시.10시.승차,09시.10시.하차,10시.11시.승차,10시.11시.하차,11시.12시.승차,11시.12시.하차,12시.13시.승차,12시.13시.하차,13시.14시.승차,13시.14시.하차,14시.15시.승차,14시.15시.하차,15시.16시.승차,15시.16시.하차,16시.17시.승차,16시.17시.하차,17시.18시.승차,17시.18시.하차,18시.19시.승차,18시.19시.하차,19시.20시.승차,19시.20시.하차,20시.21시.승차,20시.21시.하차,21시.22시.승차,21시.22시.하차,22시.23시.승차,22시.23시.하차,23시.24시.승차,23시.24시.하차
202307,44,13,189,1380,548,5313,991,6921,1657,7615,2189,5456,2592,6857,2936,8185,3291,8574,4560,8103,5959,7266,7095,6445,7001,6298,8039,6838,8885,5745,6448,3367,5718,1550,6109,822,4303,662,1850,944
202306,2,0,562,3009,2508,10951,8301,14606,11440,18061,8788,13597,9802,15938,11605,16894,12899,17744,15353,18393,16708,16932,18990,16294,18576,17109,23169,17496,25960,16451,18291,9303,15456,4577,14337,2568,11982,1814,5540,1182
202306,6,3,931,2278,3305,16728,9884,20500,11471,22387,8831,21139,9821,22352,11378,22318,12454,23934,14288,25116,15609,24064,19132,23308,17084,26438,19686,30426,21758,30263,17273,16482,14575,7047,14112,4545,11456,3603,5027,2481
202306,17,0,2133,2287,4103,13221,8067,21241,15368,18777,18177,12011,21241,10878,21830,10917,19570,12408,22973,12131,22709,10508,24532,10489,20696,12041,26782,13279,29577,12361,22936,6546,19432,2937,21620,2007,18133,1798,10191,1289
202305,6,0,589,3294,2112,11469,5938,15400,9563,18231,9236,13731,9517,15237,11397,16826,12757,17337,15229,18411,16657,16693,18698,16201,18224,17227,23260,17288,26368,16450,18865,9518,15813,4676,14307,2598,11904,1747,4940,1259
202305,5,0,1174,2534,2940,17157,7514,21739,10205,22553,9402,19924,10269,21265,11086,21864,12498,23153,14775,24988,15853,23675,18216,21771,16861,25939,20415,30028,22310,28672,17757,16173,14943,7474,14465,4395,11682,3453,4532,2287
202305,13,2,2204,2326,4034,13960,7671,22043,15490,19146,19901,11517,20356,10929,20838,11424,20241,12375,23240,13047,22538,10991,23418,10356,18524,12097,27880,13265,29764,12206,22892,6835,20760,3318,21704,2099,18113,1950,8291,1248
202304,1,2,571,2856,2002,10968,5421,15652,8785,17630,8671,12731,9461,14432,11147,16153,12097,16163,14214,17170,15905,16167,17860,15624,16396,16646,21677,16474,25497,15517,17858,9011,13775,4196,13771,2613,11712,1715,5235,1173
202304,2,1,974,1960,2667,14264,7092,20237,9840,20829,8986,17790,10024,19835,11005,19788,11684,20576,13641,22172,14802,21753,17482,20588,14621,25045,18023,27746,20574,27422,16632,15759,13036,6927,13407,4331,11001,3331,4413,2108
202304,19,1,2162,2165,3959,12777,7759,22624,14828,19798,17618,11700,18953,11018,19701,10802,18386,11654,21453,12333,21471,10605,22871,10526,16740,12203,26086,13373,28306,12078,20900,7080,16713,3224,22270,2013,17842,1812,9527,1292
202303,4,0,589,2663,2005,10624,5422,15388,8941,17862,7913,12063,8503,14745,11489,16747,12118,16279,14686,16809,16112,16076,17815,15579,17233,16474,22321,17149,26825,15903,16957,9813,14186,4168,12679,2640,13251,1780,3870,1179
202303,1,2,1050,2181,2966,13898,7137,19488,10721,21141,8684,15697,9244,21124,11164,22217,11629,21592,14249,21817,15556,21822,17584,20314,15221,24857,19086,28342,22657,28795,15039,17869,13336,7096,12575,4229,13031,3063,3050,2182
202303,17,0,2205,2180,3895,12632,7188,22959,15505,20451,16053,10805,17390,11620,20843,11937,19116,12334,23244,11509,23338,10994,21765,10236,17578,12135,25769,13853,31753,12583,19180,7802,16630,3469,20743,1919,21214,1834,5350,1162
202302,4,0,529,2466,1554,8792,4311,13250,8046,15762,7026,10912,8054,14233,10580,16598,11239,15800,13500,16438,15553,16147,16760,14801,16385,15595,20746,16211,24488,15391,15929,9118,12796,3788,12032,2363,11863,1950,3697,1132
202302,1,0,859,1856,2562,12639,6444,17062,9798,19259,7778,15292,8566,20979,10879,22631,10962,21634,13608,21704,15843,21837,17044,19490,15196,23883,17996,26678,20837,27153,14871,17250,12777,6387,11772,3865,11647,2864,3422,2164
202302,11,1,2037,1756,3267,10621,6140,19045,14639,17695,14319,9456,17055,10929,19717,11155,17555,11299,21390,10384,23419,10322,20476,9314,16463,11308,24017,12362,29791,11029,17150,7543,15485,3243,18665,1909,19654,1757,5639,1090
202301,2,0,502,2570,1651,8877,4265,13234,7265,16138,6712,11530,7597,14708,10431,16794,11034,16923,13763,17642,16510,16270,17316,15624,17555,16119,21822,16557,26181,15282,16615,9360,13710,3949,12622,2490,12645,1526,4168,1012
202301,3,1,944,2077,2611,12955,6408,17599,9239,19338,6990,16126,7604,21424,10415,22872,11057,22848,13748,22630,15563,21731,16844,20261,15631,24056,18658,26622,22291,27458,15478,17158,13355,7054,11949,4083,11806,2982,3356,2075
202301,20,0,2078,2064,3458,11600,6743,20893,14501,18177,14162,10154,16368,11462,20473,11450,17987,12436,22319,11799,24503,10288,21652,9575,18079,11705,24991,13148,30617,11908,19134,7859,16734,3555,18303,2057,22529,1717,6769,1132
