"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202406","서해선","김포공항","17","0","402","2161","773","7192","1730","8790","2606","10910","3003","7551","3262","7486","3574","8896","3662","8869","5513","8030","6558","7284","7470","6420","7077","6824","9122","7459","10774","7064","7544","3810","6593","1998","7523","1171","5560","774","1820","950","48","379","0","0","0","0","0","0","20240703"
"202405","5호선","김포공항","6","0","813","3554","4599","10520","17634","17179","22519","23156","11211","13990","11242","14756","12781","16784","13627","16114","16385","17196","18652","15969","20326","15628","19865","16074","25780","16599","28903","15909","19959","9387","16677","4828","15024","3064","12990","2228","5177","1235","307","680","1","6","0","0","0","0","20240603"
"202405","9호선","김포공항","6","5","747","2933","3445","14539","11810","17979","12418","19992","8069","17779","9029","19061","11077","21761","11222","22236","13844","22506","15828","21476","18061","20483","15355","23351","19181","27170","21276","26682","16355","15320","14292","6748","12971","4291","10589","3460","3946","2189","143","1562","5","186","0","0","0","0","20240603"
"202405","공항철도 1호선","김포공항","17","0","2158","2242","3606","12155","8512","20715","13921","17744","16373","10738","19011","9784","19301","10478","17270","11653","21786","11026","22535","8970","21223","9043","17115","10005","23003","11935","27336","10566","20199","6018","17075","2887","20324","1653","17151","1582","6789","1042","255","802","5","51","0","0","0","0","20240603"
"202405","서해선","김포공항","26","3","614","2298","844","7627","1988","9227","3115","11291","3118","7572","3303","7414","3664","8790","3648","8779","5674","8312","6824","7158","7217","6384","7178","7007","9233","8030","11036","7365","7808","4365","6950","1947","7285","1201","5626","822","2080","951","68","372","0","0","0","0","0","0","20240603"
"202404","5호선","김포공항","4","1","973","3775","4411","10449","17589","17451","22611","23335","10763","13242","10710","14354","12659","16159","13258","15446","15518","16125","17619","15150","20217","14539","18644","14787","24742","15989","28826","15553","18531","9050","15589","4571","14437","3083","12667","2039","5144","1222","296","603","0","2","0","0","0","0","20240503"
"202404","9호선","김포공항","14","0","774","2730","3315","13441","12443","17099","12459","19330","8014","16747","8488","18133","10390","20816","11182","21194","13126","21010","15278","20668","16875","19294","14261","22150","17523","26164","20160","25696","14901","14811","12832","6451","12258","3896","10490","3040","3667","2047","95","1303","3","164","0","0","0","0","20240503"
"202404","경의선","김포공항","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20240503"
"202404","공항철도 1호선","김포공항","24","1","2070","2263","3571","11680","8609","21203","13374","18417","16177","10294","17469","9186","19409","10247","17317","10999","20736","10702","21429","8931","20999","8905","16279","9512","22088","11092","26646","10024","19318","5710","15869","2547","19727","1605","16974","1458","7246","1082","248","715","1","52","0","0","0","0","20240503"
"202404","서해선","김포공항","15","3","425","2271","699","7875","1911","9525","3159","10860","3071","7182","3322","7439","3788","8140","3616","8568","5571","7774","6576","6879","6893","6280","6802","6456","8948","7732","11000","7141","7683","4128","6396","1802","6976","1094","5382","793","2007","935","57","336","0","0","0","0","0","0","20240503"
"202403","5호선","김포공항","3","0","839","3538","3953","10348","15825","16230","21613","22368","10764","13641","10274","14995","12598","16875","13711","16712","15645","18003","18906","17010","21445","15974","20865","16426","24895","17115","29321","15462","20104","9642","16255","4567","14443","2926","13644","2132","5240","1240","296","565","0","1","0","0","0","0","20240403"
"202403","9호선","김포공항","18","1","751","2482","3136","14803","11453","16759","12466","19424","8173","18048","8466","20782","11321","22422","11865","23755","13654","23866","16379","23866","19590","22145","16420","24705","18852","28959","21691","26647","16679","16775","14370","6525","12394","3885","11178","3129","4160","2190","134","1496","1","132","0","0","0","0","20240403"
"202403","경의선","김포공항","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20240403"
"202403","공항철도 1호선","김포공항","24","1","1974","2269","3362","12297","7048","20164","13534","17330","16186","10542","17267","10325","19459","10604","17406","11655","20347","11848","24271","10294","23175","9228","18255","10185","21312","12590","27654","9895","19024","6325","16006","2624","19898","1537","18207","1499","7001","1101","251","897","0","52","0","0","0","0","20240403"
"202403","서해선","김포공항","18","2","281","2354","608","8076","1693","8762","3104","10648","2869","7287","3135","7934","3746","8797","3777","9001","5334","8834","7134","7881","7956","6667","7674","6849","9050","7960","11295","7157","7907","4147","6698","1594","7441","1011","6032","828","2153","1009","55","334","0","0","0","0","0","0","20240403"
"202402","5호선","김포공항","6","1","787","3079","3357","9145","13526","14212","18677","19817","9355","12595","9307","14061","12507","15735","13202","16281","15060","17259","18423","16479","20677","15169","20266","15091","24074","16825","27778","14998","18611","9190","15654","3996","13706","2613","12367","1827","5077","1088","271","483","2","12","0","0","0","0","20240303"
"202402","9호선","김포공항","17","1","704","2159","2648","12974","10069","14896","10737","17518","6940","16133","7343","20228","10992","21009","11100","22364","12761","24143","15961","23406","18629","21322","16063","23830","17457","28846","20217","25351","16125","15760","13321","6011","11283","3412","10576","2874","4080","1717","151","1191","2","114","0","4","0","0","20240303"
"202402","경의선","김포공항","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","20240303"
"202402","공항철도 1호선","김포공항","15","6","1576","1847","2910","10689","6049","17824","11367","15860","14776","9372","15125","10058","19961","9952","17389","10796","18653","11820","22858","9567","21929","8980","17593","9976","21106","12469","27435","9627","19085","6029","16082","2554","18439","1464","17901","1297","7174","924","177","643","3","46","0","0","0","0","20240303"
"202402","서해선","김포공항","22","0","293","1951","511","6891","1238","7576","2230","9624","2530","6528","2590","7489","3683","8359","3577","8776","5094","8729","6840","7709","7731","6299","7325","6465","8491","7816","10812","6639","7307","4139","6408","1507","6779","940","6019","690","2036","739","76","306","2","2","0","0","0","0","20240303"
"202401","5호선","김포공항","2","0","991","3733","3777","10425","15581","16086","20558","21493","10249","13629","9547","15004","12723","16597","12503","16450","15151","17793","19411","16692","20977","15394","20801","15555","24882","16834","30124","15249","19318","9274","15618","3943","14345","2476","13464","1703","4804","1076","299","550","0","1","0","0","0","0","20240203"
"202401","9호선","김포공항","1","0","819","2377","3008","14294","10827","16144","11249","19594","7242","17207","7598","21951","10919","22373","10441","22556","12417","25034","16560","23550","18654","21251","16110","23725","18028","28444","21158","25737","16233","15457","13133","5865","11536","3434","11288","2834","3707","1818","116","1226","0","150","0","0","0","0","20240203"
"202401","공항철도 1호선","김포공항","16","0","1827","2132","3599","11749","6853","19383","12224","17809","15808","10240","17018","10567","21851","10633","16831","11363","19831","12103","24699","10070","23131","9274","18403","10136","22139","12521","29949","9877","19227","6290","16676","2568","19417","1574","18808","1365","7061","994","201","723","2","47","0","0","0","0","20240203"
"202401","서해선","김포공항","21","3","321","2389","525","7843","1317","8414","2100","10599","2656","7295","2871","8538","3801","9124","3504","9362","5162","9153","7280","7648","7919","6275","7554","6647","9262","7840","11474","6600","7417","4188","6696","1484","7306","863","6493","697","2218","793","41","258","0","0","0","0","0","0","20240203"
"202312","5호선","김포공항","9","1","938","3548","3470","10877","14115","15127","18634","20651","9989","14955","9787","16123","13172","17859","14257","17930","16670","19555","21417","18464","23034","17782","23092","17436","26670","19510","30087","16055","19661","9953","17357","4780","16618","3076","14387","1946","5893","1292","403","633","1","105","0","32","0","0","20240103"
